feed_id,agency,country,n_bus_trips,n_travel_times,n_distinct_travel_times,median_travel_time_s,temporal_resolution_s,share_travel_times_whole_minute,share_stop_times_whole_minute,timepoint_status,approximate_share,share_timepoints_whole_minute,share_approx_whole_minute,interpolation_basis,n_approx_testable,share_approx_on_line,n_timepoints_testable,share_timepoints_on_line,n_control_modes,has_control_baseline,bus_peak_to_peak_s,segregated_peak_to_peak_s,bus_exceeds_own_control
mdb-770,BBS Schapfl,AT,7198,111990,33,60.0,60.0,0.9999821412626128,0.9997396880990131,not_declared,,,,,0,,0,,2,True,2.3346320346320346,13.157894736842104,False
mdb-771,naldo Verkehrsverbund,CZ,10873,159518,82,66.0,6.0,0.845866924108878,0.8695003728560775,not_declared,,,,,0,,0,,2,True,1.4863977910555857,5.795,False
mdb-772,"OVA-Aalen, OVA-Bopfingen, Beck+Schubert",DE,4550,61604,30,60.0,60.0,0.9999675345756769,0.9996628171626064,not_declared,,,,,0,,0,,1,True,8.657794624301802,8.181818181818182,True
mdb-774,Schweizer Reisen,DE,1635,23380,29,120.0,60.0,1.0,0.9992514085339427,not_declared,,,,,0,,0,,2,True,7.12797619047619,14.074074074074074,False
mdb-776,SWU Verkehr GmbH (SWU),DE,1180,26378,8,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,1,True,0.7878391631252043,0.0,True
mdb-777,Rhein-Neckar-Verkehr,DE,4942,81246,20,60.0,60.0,0.9446741993451986,0.9519190606580963,not_declared,,,,,0,,0,,1,True,0.25514089870525514,0.0,True
mdb-779,Münchner Verkehrs- und Tarifverbund GmbH (MVV),AT,22912,365978,33,60.0,60.0,0.9973604970790594,0.9983825496941896,not_declared,,,,,0,,0,,0,False,0.36308717409936686,,
mdb-78,WestCAT,US,350,346,15,180.0,300.0,1.0,1.0,declared,0.6694108151735271,1.0,1.0,distance,0,,0,,0,False,0.0,,
mdb-781,Leipziger Verkehrsbetriebe (LVB),DE,13915,208919,32,120.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,1,True,0.25875731318966155,0.02367797947908445,True
mdb-783,Stadtwerke Heilbronn (SWHN),AT,6129,93788,43,60.0,60.0,0.9991470124109694,0.9996118878744069,not_declared,,,,,0,,0,,1,True,1.7897930760047749,3.062176165803109,False
mdb-787,Transportes interurbanos de Tenerife (TITSA),ES,6212,167075,867,64.0,1.0,0.026359419422415084,0.05648720211827008,not_declared,,,,,0,,0,,0,False,11.870008494317952,,
mdb-79,Yuba-Sutter Transit,US,217,157,12,300.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,0.0,,
mdb-791,Consorcio Regional de Transportes de Madrid CRTM Intercity Buses (Madrid Intercity Buses),ES,30732,715248,1564,62.0,1.0,0.026070677583159965,0.11210090009071493,not_declared,,,,,0,,0,,0,False,5.540042107922241,,
mdb-793,Empresa Municipal de Transportes de Madrid (EMT Madrid),ES,26902,654921,875,80.0,1.0,0.019504642544673326,0.05494534505289496,not_declared,,,,,0,,0,,0,False,4.406539781139378,,
mdb-795,Empresa Municipal de Transportes de Valencia (EMT Valencia),ES,6995,168652,317,85.0,1.0,0.015866992386689753,0.06735668699152277,not_declared,,,,,0,,0,,0,False,4.760578560327771,,
mdb-797,TUVISA (Transportes Urbanos de Vitoria),ES,1981,33300,177,85.0,1.0,0.04048048048048048,0.13902308105206657,not_declared,,,,,0,,0,,0,False,1.8188154525213351,,
mdb-798,Clemson Area Transit (CAT),US,103,2169,9,60.0,60.0,0.9686491470723836,0.9862348178137652,not_declared,,,,,0,,0,,0,False,0.0,,
mdb-8,São Paulo Transporte (SPTrans),BR,2239,96420,391,110.0,1.0,0.025399294752126114,0.14164952006405904,not_declared,,,,,0,,0,,0,False,,,
mdb-80,SolTrans,US,402,6310,187,64.0,1.0,0.09096671949286846,0.300953516090584,declared,0.6990464839094159,1.0,0.0,stopcount,4692,0.04156010230179028,0,,0,False,25.90909090909091,,
mdb-813,Santa Ynez Valley Transit,US,71,763,17,120.0,60.0,0.8951507208387942,0.9280575539568345,declared,0.6510791366906474,1.0,0.8895027624309392,distance,0,,0,,0,False,0.0,,
mdb-82,Unitrans,US,589,364,7,180.0,60.0,1.0,1.0,declared,0.6528135343876426,1.0,,stopcount,0,,0,,0,False,66.66666666666667,,
mdb-820,Summit Stage,US,632,3797,23,120.0,60.0,0.969449565446405,0.9879767827529021,declared,0.8094586671878053,1.0,0.9849311509482983,distance,58,0.017241379310344827,0,,0,False,0.0,,
mdb-838,Jefferson Transit Authority,US,141,260,18,120.0,60.0,1.0,1.0,declared,0.6176084099868594,1.0,1.0,distance,0,,0,,0,False,0.0,,
mdb-839,Santa Fe Trails,US,372,6663,104,60.0,1.0,0.9231577367552154,0.9645241274079726,declared,0.03662025557886706,1.0,0.03125,distance,372,0.7204301075268817,0,,0,False,21.666666666666668,,
mdb-84,Nevada County Connects (Gold Country Stage),US,127,1987,15,60.0,60.0,1.0,1.0,declared,0.6593406593406593,1.0,1.0,distance,0,,0,,0,False,3.6363636363636362,,
mdb-841,Régie des Transports Métropolitains (RTM),FR,10216,185836,24,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,2,True,12.871575221557302,8.453192603879105,True
mdb-842,Marcoulines,FR,124,984,23,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,,,
