feed_id,agency,country,fail_reason
jbda-shichinohetown-shichinohe_community-bus,七戸町,JP,insufficient fixed-route bus service
jbda-shiga-hinotown-choueibus,日野町,JP,insufficient fixed-route bus service
jbda-shimacity-agowanteikisen,志摩市,JP,insufficient fixed-route bus service
jbda-shimacity-anori,志摩市,JP,insufficient fixed-route bus service
jbda-shimantocity-GTFS-Shimantocity_Bus,四万十市,JP,insufficient fixed-route bus service
jbda-shimantocity-GTFS-Shimantocity_Demandbus,四万十市,JP,insufficient fixed-route bus service
jbda-shingovillage-shingo-mizubashogo,新郷村,JP,insufficient fixed-route bus service
jbda-shingutown-TownFerryShingu,新宮町,JP,insufficient fixed-route bus service
jbda-shinjocity-ShinjoCity,新庄市,JP,insufficient fixed-route bus service
jbda-shinkikanko-limonbus,神姫観光,JP,insufficient fixed-route bus service
jbda-shinonsentown-yumetsubame,新温泉町,JP,no usable service date
jbda-shinshirocity-sbus,新城市,JP,insufficient fixed-route bus service
jbda-shiojiricity-suteppukunn,塩尻市,JP,insufficient fixed-route bus service
jbda-shiratakatown-ShiratakaTown,白鷹町,JP,insufficient fixed-route bus service
jbda-shirotori-kotsu-shirotorikotsu,白鳥交通,JP,insufficient fixed-route bus service
jbda-shisocity-shitanbus,宍粟市,JP,insufficient fixed-route bus service
jbda-shizuokacity-yui,静岡市,JP,insufficient fixed-route bus service
jbda-shonaitown-ShonaiTown,庄内町,JP,insufficient fixed-route bus service
jbda-shootown-shoochofureaibus,勝央町,JP,insufficient fixed-route bus service
jbda-soedatown-soedamachibus,添田町,JP,insufficient fixed-route bus service
jbda-sotogahamatown-sotogahama-townbus,外ヶ浜町,JP,insufficient fixed-route bus service
jbda-sukumocity-GTFS-Sukumocity_Hanabus,宿毛市,JP,insufficient fixed-route bus service
jbda-sumotocity-communitybus,洲本市,JP,insufficient fixed-route bus service
jbda-suwacity-karinchanbas,諏訪市,JP,insufficient fixed-route bus service
jbda-tajimicity-kikyobus,多治見市,JP,insufficient fixed-route bus service
jbda-takaokacity-koueibus,高岡市,JP,insufficient fixed-route bus service
jbda-takarazukacity-runrunbus,宝塚市,JP,insufficient fixed-route bus service
jbda-taketoyotown-communitybus,武豊町,JP,insufficient fixed-route bus service
jbda-takitown-choeibus,多気町,JP,insufficient fixed-route bus service
jbda-tambasasayamacity-communitybusheartrun,丹波篠山市,JP,insufficient fixed-route bus service
jbda-tanabecity-Jumin-Bus,田辺市,JP,insufficient fixed-route bus service
jbda-tanotown-GTFS-Tanotown_Bus,田野町,JP,insufficient fixed-route bus service
jbda-tateshinatown-tateshinasmile,立科町,JP,insufficient fixed-route bus service
jbda-tatsunocity-communitybus,たつの市,JP,insufficient fixed-route bus service
jbda-tendocity-TendoCity,天童市,JP,insufficient fixed-route bus service
jbda-tobacity-teikisen,鳥羽市,JP,insufficient fixed-route bus service
jbda-tochigi-nakagawatown-nakagawamaticommunitybus,那珂川町,JP,insufficient fixed-route bus service
jbda-tohokutown-tohoku-town-bus,東北町,JP,insufficient fixed-route bus service
jbda-tohtetsu-tohtetsu_ena,東濃鉄道,JP,insufficient fixed-route bus service
jbda-tointown-communitybus,東員町,JP,insufficient fixed-route bus service
jbda-tokicity-communitybus,土岐市,JP,insufficient fixed-route bus service
jbda-tokushima-minamitown-minabubyoinrenrakubus,美波町,JP,insufficient fixed-route bus service
jbda-tokushimacity-kamihachimanbus,徳島市,JP,insufficient fixed-route bus service
jbda-tokushimacity-oujinfureaibus,徳島市,JP,insufficient fixed-route bus service
jbda-tonamicity-tonamishieibasu,砺波市,JP,insufficient fixed-route bus service
jbda-tosacity-GTFS-Tosacity_Bus,土佐市,JP,insufficient fixed-route bus service
jbda-tosashimizucity-GTFS-Tosashimizucity_Bus,土佐清水市,JP,insufficient fixed-route bus service
jbda-toshinkanko-bus-rosenbus,東信観光バス株式会社,JP,insufficient fixed-route bus service
jbda-towadacity-towadacity_communitybus,十和田市,JP,insufficient fixed-route bus service
jbda-toyama-asahitown-asahimachibus,富山県朝日町,JP,insufficient fixed-route bus service
jbda-toyamacity-fuchucommunitybus,富山市,JP,insufficient fixed-route bus service
jbda-toyamacity-horikawaminamicommunitybus,富山市,JP,insufficient fixed-route bus service
jbda-toyamacity-jojocommunitybus,富山市,JP,insufficient fixed-route bus service
jbda-toyamacity-kurehaikiikibus,富山市,JP,insufficient fixed-route bus service
jbda-toyamacity-maidohayabus,富山市,JP,insufficient fixed-route bus service
jbda-toyamacity-mizuhashifureaicommunitybus,富山市,JP,insufficient fixed-route bus service
jbda-toyamacity-oyamacommunitybus,富山市,JP,insufficient fixed-route bus service
jbda-toyoakecity-himawaribus,豊明市,JP,insufficient fixed-route bus service
jbda-toyookacity-inacar,豊岡市,JP,insufficient fixed-route bus service
jbda-toyookacity-kobus,豊岡市,JP,insufficient fixed-route bus service
jbda-toyoyamatown-communitybus,豊山町,JP,insufficient fixed-route bus service
jbda-tozawavillage-tozawavillagebus,戸沢村,JP,insufficient fixed-route bus service
jbda-tsu-airportline-airportline,津エアポートライン,JP,insufficient fixed-route bus service
jbda-tsubamecity-tsubame_bus,燕市,JP,insufficient fixed-route bus service
jbda-tsuchiuracity-tsuchimarubus,土浦市,JP,insufficient fixed-route bus service
jbda-tsugarucity-tsugarucity_localtransportation,つがる市,JP,insufficient fixed-route bus service
jbda-tsukubacity-TSUKUBANEGO,つくば市,JP,insufficient fixed-route bus service
jbda-tsukubacity-TSUKUBUS,つくば市,JP,missing required table
jbda-tsurugitown-tsurugitownbus,つるぎ町,JP,insufficient fixed-route bus service
jbda-tsuruokacity-TsuruokaCity,鶴岡市,JP,insufficient fixed-route bus service
jbda-tsurutatown-tsuruta-townbus,鶴田町,JP,insufficient fixed-route bus service
jbda-tsuyamacity-bus-tsuyamacity-okayama-jp,津山市,JP,insufficient fixed-route bus service
jbda-uchinadatown-communitybus,内灘町,JP,insufficient fixed-route bus service
jbda-uedacity-uedashigaitizyunkanbus,上田市,JP,insufficient fixed-route bus service
jbda-uozucity-omotenashi,魚津市,JP,insufficient fixed-route bus service
jbda-wataraitown-choeibus,度会町,JP,insufficient fixed-route bus service
jbda-yaesetown-yaese-town-bus,八重瀬町,JP,insufficient fixed-route bus service
jbda-yaitacity-chuuou-junkan,矢板市,JP,insufficient fixed-route bus service
jbda-yamagata-asahitown-AsahiTown,朝日町,JP,insufficient fixed-route bus service
jbda-yamagata-kaneyamatown-KaneyamaTown,山形県金山町,JP,insufficient fixed-route bus service
jbda-yamagata-ogunitown-OguniTown,山形県小国町,JP,insufficient fixed-route bus service
jbda-yamagatatetsudo-flowerliner,山形鉄道株式会社,JP,insufficient fixed-route bus service
jbda-yamanashi-nanbutown-nanbucyoueibasu,南部町,JP,insufficient fixed-route bus service
jbda-yamanobetown-YamanobeTown,山辺町,JP,insufficient fixed-route bus service
jbda-yamatokoriyamacity-kingyobus,大和郡山市,JP,insufficient fixed-route bus service
jbda-yamatotakadacity-communitybuskibougou,大和高田市,JP,insufficient fixed-route bus service
jbda-yanagawacity-YanagawaCityCommunityBus,柳川市,JP,insufficient fixed-route bus service
